WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
967.5,0.1388,0.0049,0.012,0.0018,0.0007,0.0007,0.0005,0.001,406.047
970,0.1258,0.0044,0.0136,0.0018,0.0009,0.0007,0.0006,0.0011,389.741
972.5,0.1297,0.0039,0.0146,0.0017,0.0007,0.0007,0.0006,0.0009,376.622
975,0.1337,0.0037,0.0152,0.0015,0.0007,0.0008,0.0007,0.0009,363.517
977.5,0.1225,0.0041,0.0146,0.0015,0.0008,0.0007,0.0006,0.0007,349.855
980,0.1114,0.0039,0.0128,0.0012,0.0009,0.0007,0.0007,0.0007,336.697
982.5,0.1029,0.004,0.0114,0.0014,0.0008,0.0006,0.0004,0.0007,326.962
985,0.0942,0.0046,0.0094,0.0014,0.001,0.0006,0.0004,0.0007,317.08
987.5,0.1047,0.0053,0.0078,0.0013,0.0014,0.0006,0.0006,0.0007,305.806
990,0.1152,0.0049,0.0063,0.0012,0.0015,0.0005,0.0004,0.0004,294.92
992.5,0.0995,0.0046,0.0056,0.0011,0.0016,0.0005,0.0005,0.0006,282.203
995,0.0839,0.0042,0.0053,0.0013,0.0018,0.0005,0.0005,0.0007,271.439
997.5,0.0845,0.0035,0.0053,0.0013,0.0018,0.0006,0.0005,0.0006,260.807
1000,0.0853,0.0032,0.0052,0.0011,0.0015,0.0005,0.0005,0.0003,250.912
1002.5,0.0776,0.0026,0.0054,0.0013,0.0014,0.0006,0.0004,0.0005,243.373
1005,0.0701,0.0024,0.0053,0.0014,0.0012,0.0005,0.0004,0.0005,235.734
1007.5,0.0707,0.0023,0.0048,0.0016,0.001,0.0005,0.0004,0.0005,227.658
1010,0.0711,0.0024,0.0038,0.0016,0.0005,0.0002,0.0004,0.0003,217.559
1012.5,0.0657,0.0023,0.0032,0.002,0.0004,0.0006,0.0004,0.0004,208.722
1015,0.06,0.0026,0.0027,0.0019,0.0005,0.0005,0.0004,0.0004,198.576
1017.5,0.0621,0.003,0.0022,0.0018,0.0004,0.0004,0.0004,0.0003,188.152
1020,0.0642,0.0031,0.002,0.0019,0.0004,0.0004,0.0003,0.0002,178.705
1022.5,0.0557,0.0037,0.0021,0.0019,0.0005,0.0004,0.0003,0.0005,168.441
1025,0.0473,0.0037,0.0022,0.0017,0.0004,0.0003,0.0002,0.0003,159.032
1027.5,0.0433,0.0037,0.0024,0.0016,0.0003,0.0003,0.0002,0.0003,148.125
1030,0.0392,0.0038,0.0029,0.0017,0.0003,0.0004,0.0002,0.0003,137.77
1032.5,0.0361,0.0034,0.0029,0.0014,0.0004,0.0005,0.0002,0.0004,124.557
1035,0.0329,0.0031,0.0028,0.0013,0.0004,0.0005,0.0002,0.0003,109.612
1037.5,0.0341,0.0027,0.0025,0.0013,0.0004,0.0006,0.0002,0.0003,91.7406
1040,0.0352,0.0025,0.0021,0.0012,0.0003,0.0006,0.0002,0.0002,71.5068
1042.5,0.0314,0.0021,0.0019,0.0013,0.0004,0.0008,0.0001,0.0002,50.3125
1045,0.0276,0.0019,0.0015,0.0013,0.0003,0.0007,0.0001,0.0002,32.8064
1047.5,0.0255,0.0016,0.0014,0.0015,0.0003,0.0006,0.0001,0.0002,19.8817
1050,0.0234,0.0015,0.0014,0.0017,0.0002,0.0005,0.0001,0.0001,9.7957
1052.5,0.0211,0.0015,0.0018,0.0019,0.0002,0.0003,0.0002,0.0002,4.7076
1055,0.0188,0.0015,0.0022,0.0023,0.0002,0.0003,0.0002,0.0002,2.1849
1057.5,0.018,0.0017,0.0027,0.003,0.0001,0.0002,0.0001,0.0001,1.0292
1060,0.0171,0.0019,0.003,0.0038,0.0001,0.0001,0.0002,0.0001,0.5237
1062.5,0.0151,0.0025,0.0032,0.0052,0.0001,0.0002,0.0002,0.0001,0.2985
1065,0.0131,0.0029,0.003,0.0072,0.0001,0.0001,0.0002,0.0001,0.2
1067.5,0.0121,0.0034,0.0027,0.0097,0.0001,0.0001,0.0002,0.0001,0.146
1070,0.0111,0.0041,0.0025,0.0132,0.0001,0.0002,0.0002,0.0001,0.1143
1072.5,0.01,0.0043,0.0021,0.017,0.0001,0.0002,0.0001,0.0001,0.102
1075,0.0088,0.0046,0.0018,0.0211,0.0001,0.0002,0.0001,0.0001,0.0801
1077.5,0.0088,0.0048,0.0021,0.0255,0.0001,0.0002,0.0001,0.0001,0.0766
1080,0.0087,0.0047,0.0027,0.03,0.0001,0.0002,0.0001,0.0001,0.0801
1082.5,0.008,0.005,0.0038,0.0351,0.0002,0.0002,0.0001,0.0001,0.0645
1085,0.0072,0.005,0.0047,0.0407,0.0002,0.0002,0.0001,0.0001,0.0701
